ENSG00000253305,EFRMB
ENSG00000127337,EFRMB
ENSG00000132510,FemInf
ENSG00000008710,Gout
ENSG00000118777,Gout
ENSG00000197891,Gout
ENSG00000118762,Gout
ENSG00000096968,Gout
ENSG00000087237,HDLC
ENSG00000165029,HDLC
ENSG00000213398,HDLC
ENSG00000110245,HDLC
ENSG00000010327,HDLC
ENSG00000025434,HDLC
ENSG00000060566,HDLC
ENSG00000073060,HDLC
ENSG00000084674,HDLC
ENSG00000100979,HDLC
ENSG00000101670,HDLC
ENSG00000101745,HDLC
ENSG00000107862,HDLC
ENSG00000110243,HDLC
ENSG00000118137,HDLC
ENSG00000130173,HDLC
ENSG00000132170,HDLC
ENSG00000132855,HDLC
ENSG00000135218,HDLC
ENSG00000140479,HDLC
ENSG00000146830,HDLC
ENSG00000152270,HDLC
ENSG00000166035,HDLC
ENSG00000166819,HDLC
ENSG00000167772,HDLC
ENSG00000168769,HDLC
ENSG00000173064,HDLC
ENSG00000175445,HDLC
ENSG00000182871,HDLC
ENSG00000096968,HDLC
ENSG00000110395,HDLC
ENSG00000111252,HDLC
ENSG00000137834,HDLC
ENSG00000179218,HDLC
ENSG00000123739,HDLC
ENSG00000064932,HDLC
ENSG00000070915,HDLC
ENSG00000115616,HDLC
ENSG00000144852,HDLC
ENSG00000244734,HDLC
ENSG00000112964,Height
ENSG00000140470,Height
ENSG00000167522,Height
ENSG00000178177,Height
ENSG00000166292,Height
ENSG00000100079,Height
ENSG00000138398,Height
ENSG00000168676,Height
ENSG00000066827,Height
ENSG00000103196,Height
ENSG00000103335,Height
ENSG00000108821,Height
ENSG00000121005,Height
ENSG00000136068,Height
ENSG00000138685,Height
ENSG00000146197,Height
ENSG00000157766,Height
ENSG00000159899,Height
ENSG00000163501,Height
ENSG00000169710,Height
ENSG00000196712,Height
ENSG00000099769,Height
ENSG00000123572,Height
ENSG00000142303,Height
ENSG00000143476,Height
ENSG00000162733,Height
ENSG00000164151,Height
ENSG00000166147,Height
ENSG00000169047,Height
ENSG00000179295,Height
ENSG00000179455,Height
ENSG00000185960,Height
ENSG00000196739,Height
ENSG00000259384,Height
ENSG00000181817,Height
ENSG00000140368,Height
ENSG00000169231,Height
ENSG00000092470,Height
ENSG00000092054,HF
ENSG00000155657,HF
ENSG00000160789,HF
ENSG00000119772,HF
ENSG00000168769,HF
ENSG00000008710,HTN
ENSG00000061987,HTN
ENSG00000118762,HTN
ENSG00000144357,HTN
ENSG00000164867,HTN
ENSG00000173064,HTN
ENSG00000119772,HTN
ENSG00000140262,HTN
ENSG00000182511,HTN
ENSG00000064419,HTN
ENSG00000008710,IFHern
ENSG00000140694,ILDSarc
ENSG00000164362,ILDSarc
ENSG00000168769,ILDSarc
ENSG00000170836,ILDSarc
ENSG00000258366,ILDSarc
ENSG00000084674,LDLC
ENSG00000130164,LDLC
ENSG00000254122,LDLC
ENSG00000169174,LDLC
ENSG00000010327,LDLC
ENSG00000015520,LDLC
ENSG00000106633,LDLC
ENSG00000125844,LDLC
ENSG00000132855,LDLC
ENSG00000138075,LDLC
ENSG00000143921,LDLC
ENSG00000146830,LDLC
ENSG00000154262,LDLC
ENSG00000163631,LDLC
ENSG00000165029,LDLC
ENSG00000008710,LDLC
ENSG00000096968,LDLC
ENSG00000135100,LDLC
ENSG00000145850,LDLC
ENSG00000244734,LDLC
ENSG00000141505,LDLC
ENSG00000168769,LDLC
ENSG00000168843,LDLC
ENSG00000130164,NonRheuValv
ENSG00000155657,NonRheuValv
ENSG00000166147,NonRheuValv
ENSG00000171456,NonRheuValv
ENSG00000008710,NonRheuValv
ENSG00000169554,NonRheuValv
ENSG00000119772,NonRheuValv
ENSG00000122591,NonRheuValv
ENSG00000130164,PAD
ENSG00000102158,PAD
ENSG00000008710,PAD
ENSG00000132026,Pancreat
ENSG00000133895,Pancreat
ENSG00000134982,Pancreat
ENSG00000134982,PeptUlcer
ENSG00000125901,Psori
ENSG00000167397,Psori
ENSG00000155657,RheumHeaDis
ENSG00000166147,RheumHeaDis
ENSG00000134571,RheumHeaDis
ENSG00000008710,RheumHeaDis
ENSG00000146247,RheumHeaDis
ENSG00000111834,Stroke
ENSG00000099381,T2Diab
ENSG00000101752,T2Diab
ENSG00000106633,T2Diab
ENSG00000135100,T2Diab
ENSG00000139515,T2Diab
ENSG00000144357,T2Diab
ENSG00000146830,T2Diab
ENSG00000173064,T2Diab
ENSG00000185950,T2Diab
ENSG00000101076,T2Diab
ENSG00000169375,T2Diab
ENSG00000164134,T2Diab
ENSG00000084674,TChol
ENSG00000130164,TChol
ENSG00000169174,TChol
ENSG00000010327,TChol
ENSG00000015520,TChol
ENSG00000073060,TChol
ENSG00000096968,TChol
